# Configuracion:
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_116720831517.84952
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_270550.85868129734
# 
Resultados:
# tau_s_=_(9.09+/-8.75)e+00
# dphi_rad_=_6.30+/-0.01
# SAR_W/g_=_8.75+/-8.33
# Hc_kA/m_=_2.09+/-0.44
# Mr_A/m_=_5.45+/-1.13
# Suceptibilidad_a_M=0_=_0.0026+/-0.0001
Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(ns)	N	xi_M_0
265kHz_150dA_100Mss_bobN1NFPEG0009.txt		20.00	6.56	2.48	57041.50	90.71	2.705750e+05	3.249101e+00	6.307161e+00	14.69	14.106959	4435	2.668e-03
265kHz_150dA_100Mss_bobN1NFPEG0010.txt		20.00	5.62	2.15	57041.50	86.63	2.705140e+05	3.140030e+00	6.302603e+00	11.50	11.424346	4436	2.645e-03
265kHz_150dA_100Mss_bobN1NFPEG0011.txt		20.00	4.70	1.84	57041.50	86.15	2.705750e+05	3.109421e+00	6.292254e+00	5.32	5.334761	4435	2.576e-03
265kHz_150dA_100Mss_bobN1NFPEG0012.txt		20.00	3.27	1.27	57041.50	82.46	2.705750e+05	2.980133e+00	6.277742e+00	-3.06	-3.201833	4435	2.572e-03
265kHz_150dA_100Mss_bobN1NFPEG0013.txt		20.00	5.09	1.98	57041.50	81.41	2.705750e+05	2.965500e+00	6.297916e+00	8.24	8.665977	4435	2.582e-03
265kHz_150dA_100Mss_bobN1NFPEG0014.txt		20.00	3.93	1.52	57041.50	85.01	2.705750e+05	3.040174e+00	6.273965e+00	-5.29	-5.424186	4435	2.629e-03
265kHz_150dA_100Mss_bobN1NFPEG0015.txt		20.00	5.58	2.15	57041.50	81.80	2.705750e+05	2.973945e+00	6.295709e+00	7.03	7.367416	4435	2.621e-03
265kHz_150dA_100Mss_bobN1NFPEG0016.txt		20.00	5.67	2.04	57041.50	89.60	2.705750e+05	3.246175e+00	6.297890e+00	9.00	8.651088	4435	2.797e-03
265kHz_150dA_100Mss_bobN1NFPEG0017.txt		20.00	4.78	1.86	57041.50	80.98	2.705750e+05	2.936555e+00	6.287932e+00	2.63	2.792563	4435	2.589e-03
265kHz_150dA_100Mss_bobN1NFPEG0019.txt		20.00	4.71	1.74	57041.50	88.21	2.705750e+05	3.177904e+00	6.287353e+00	2.50	2.451828	4435	2.736e-03
265kHz_150dA_100Mss_bobN1NFPEG0020.txt		20.00	5.02	1.83	57041.50	87.95	2.705750e+05	3.187704e+00	6.291416e+00	4.95	4.841745	4435	2.762e-03
265kHz_150dA_100Mss_bobN1NFPEG0021.txt		20.00	7.30	2.70	57041.50	87.00	2.705750e+05	3.110348e+00	6.325215e+00	24.65	24.739054	4435	2.713e-03
265kHz_150dA_100Mss_bobN1NFPEG0022.txt		20.00	7.23	2.89	57041.50	78.67	2.705750e+05	2.831420e+00	6.323610e+00	21.59	23.793292	4435	2.538e-03
265kHz_150dA_100Mss_bobN1NFPEG0023.txt		20.00	5.35	2.12	57041.50	77.40	2.705750e+05	2.835230e+00	6.297475e+00	7.64	8.406523	4435	2.535e-03
265kHz_150dA_100Mss_bobN1NFPEG0024.txt		20.00	6.36	2.44	57041.50	81.65	2.705750e+05	2.948674e+00	6.313604e+00	16.92	17.899930	4435	2.635e-03
265kHz_150dA_100Mss_bobN1NFPEG0025.txt		20.00	6.20	2.34	57041.50	83.26	2.705750e+05	3.027570e+00	6.305713e+00	12.87	13.254495	4435	2.663e-03
265kHz_150dA_100Mss_bobN1NFPEG0026.txt		20.00	3.88	1.42	57041.50	90.49	2.705750e+05	3.239912e+00	6.281256e+00	-1.18	-1.134887	4435	2.749e-03
265kHz_150dA_100Mss_bobN1NFPEG0027.txt		20.00	4.64	1.77	57041.50	85.96	2.705750e+05	3.105606e+00	6.288032e+00	2.84	2.851087	4435	2.646e-03
265kHz_150dA_100Mss_bobN1NFPEG0028.txt		20.00	3.89	1.46	57041.50	89.22	2.705750e+05	3.182585e+00	6.277162e+00	-3.62	-3.543190	4435	2.693e-03
265kHz_150dA_100Mss_bobN1NFPEG0029.txt		20.00	7.68	3.02	57041.50	80.85	2.705750e+05	2.878036e+00	6.332228e+00	26.62	28.873346	4435	2.569e-03
265kHz_150dA_100Mss_bobN1NFPEG0030.txt		20.00	6.30	2.32	57041.50	89.51	2.705750e+05	3.244388e+00	6.303197e+00	12.25	11.773841	4435	2.748e-03
265kHz_150dA_100Mss_bobN1NFPEG0031.txt		20.00	5.12	1.98	57041.50	83.79	2.705750e+05	3.032299e+00	6.288751e+00	3.18	3.273841	4435	2.622e-03
265kHz_150dA_100Mss_bobN1NFPEG0032.txt		20.00	4.43	1.69	57041.50	87.14	2.705750e+05	3.135423e+00	6.282955e+00	-0.14	-0.135212	4435	2.652e-03
265kHz_150dA_100Mss_bobN1NFPEG0033.txt		20.00	6.41	2.39	57041.50	82.87	2.705750e+05	3.028686e+00	6.306686e+00	13.43	13.826854	4435	2.713e-03
265kHz_150dA_100Mss_bobN1NFPEG0034.txt		20.00	6.15	2.43	57041.50	82.12	2.705750e+05	2.938099e+00	6.311667e+00	15.78	16.759262	4435	2.557e-03
265kHz_150dA_100Mss_bobN1NFPEG0035.txt		20.00	4.73	1.77	57041.50	87.73	2.705750e+05	3.145223e+00	6.286933e+00	2.22	2.204416	4435	2.689e-03
265kHz_150dA_100Mss_bobN1NFPEG0036.txt		20.00	7.73	2.96	57041.50	83.66	2.705140e+05	3.003366e+00	6.326492e+00	24.52	25.491507	4436	2.625e-03
265kHz_150dA_100Mss_bobN1NFPEG0037.txt		20.00	5.39	2.08	57041.50	81.85	2.705750e+05	2.991023e+00	6.299751e+00	9.35	9.745592	4435	2.603e-03
265kHz_150dA_100Mss_bobN1NFPEG0038.txt		20.00	4.38	1.71	57041.50	80.38	2.705750e+05	2.910406e+00	6.285419e+00	1.23	1.314252	4435	2.586e-03
265kHz_150dA_100Mss_bobN1NFPEG0039.txt		20.00	4.83	1.90	57041.50	78.43	2.705750e+05	2.856754e+00	6.292947e+00	5.26	5.742551	4435	2.563e-03
265kHz_150dA_100Mss_bobN1NFPEG0040.txt		20.00	7.20	2.82	57041.50	81.79	2.705750e+05	2.922618e+00	6.321772e+00	21.27	22.710235	4435	2.591e-03
265kHz_150dA_100Mss_bobN1NFPEG0041.txt		20.00	5.47	2.16	57041.50	82.87	2.705750e+05	2.981015e+00	6.307333e+00	13.58	14.207888	4435	2.564e-03
265kHz_150dA_100Mss_bobN1NFPEG0042.txt		20.00	4.92	1.88	57041.50	85.91	2.705750e+05	3.086969e+00	6.292438e+00	5.39	5.443260	4435	2.639e-03
265kHz_150dA_100Mss_bobN1NFPEG0043.txt		20.00	4.70	1.85	57041.50	82.25	2.705750e+05	2.980949e+00	6.290717e+00	4.24	4.430742	4435	2.557e-03
